"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Orinho","https://www.transfermarkt.com/orinho/profil/spieler/525472","19/20","Hamstring injury",2019-11-17,2019-12-06,"19 days","4","Fluminense Football Club"
"Felipe Jonatan","https://www.transfermarkt.com/felipe-jonatan/profil/spieler/587786","22/23","Torn knee ligaments",2023-04-22,2024-01-01,"254 days","44","Santos FC"
"Felipe Jonatan","https://www.transfermarkt.com/felipe-jonatan/profil/spieler/587786","22/23","unknown injury",2022-11-06,2023-02-16,"102 days","11","Santos FC"
"Alison","https://www.transfermarkt.com/alison/profil/spieler/167825","23/24","Cruciate ligament injury",2023-06-15,2024-04-01,"291 days","44","Santos FC"
"Alison","https://www.transfermarkt.com/alison/profil/spieler/167825","20/21","Corona virus",2021-01-18,2021-01-28,"10 days","3","Santos FC"
"Sandry","https://www.transfermarkt.com/sandry/profil/spieler/574768","23/24","Cruciate ligament injury",2023-08-10,2024-04-01,"235 days","35","Santos FC"
"Sandry","https://www.transfermarkt.com/sandry/profil/spieler/574768","22/23","Facial fracture",2023-04-30,2023-06-30,"61 days","15","Santos FC"
"Sandry","https://www.transfermarkt.com/sandry/profil/spieler/574768","22/23","Facial fracture",2023-02-20,2023-03-11,"19 days","4","Santos FC"
"Sandry","https://www.transfermarkt.com/sandry/profil/spieler/574768","20/21","Torn lateral knee ligament",2021-04-03,2021-11-24,"235 days","60","Santos FC"
"Jean Mota","https://www.transfermarkt.com/jean-mota/profil/spieler/215212","23/24","Knee problems",2023-08-24,2023-09-30,"37 days","8","Inter Miami CF"
"Jean Mota","https://www.transfermarkt.com/jean-mota/profil/spieler/215212","22/23","Outer ligament tear",2023-04-30,2023-08-22,"114 days","24","Inter Miami CF"
"Jobson","https://www.transfermarkt.com/jobson/profil/spieler/519875","20/21","Cruciate ligament tear",2021-01-18,2021-08-01,"195 days","51","Santos FC"
"Christian Cueva","https://www.transfermarkt.com/christian-cueva/profil/spieler/95280","23/24","Muscle fatigue",2023-09-01,2023-09-06,"5 days",NA,"Club Alianza Lima"
"Christian Cueva","https://www.transfermarkt.com/christian-cueva/profil/spieler/95280","22/23","Knee problems",2023-04-06,2023-04-14,"8 days","1","Club Alianza Lima"
