"player_age","Overall","Wage","Skill Moves","Contract Valid Until","in_squad","expenditure_euros_seller","income_euros_seller","avg_age_in_seller","expenditure_euros_buyer","income_euros_buyer","avg_age_in_buyer","appearances_2022","goals_2022","proyecto_vendedor","transfer_logaritmo","fisico","esfuerzo","balance_buyer","balance_seller","Preferred Foot","is_loan","window","player_position","league_buyer","same_league","valor_league_seller","nacionalidad","salud"
29.0,69.0,0.0,1.0,2025.0,32.0,4.74E7,9.586E7,23.4,4.74E7,1.765E7,23.9,39.0,0.0,3.0,14.845129975145433,3.0,4.0,-2.975E7,4.846E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0
21.0,69.0,0.0,1.0,2025.0,31.0,4.74E7,2.835E7,23.4,4.74E7,1.765E7,23.9,33.0,1.0,3.0,14.827111469642754,3.0,4.0,-2.975E7,-1.905E7,1.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0
27.0,74.0,0.0,3.0,2024.0,18.0,1.026E8,7.24E7,25.1,4.74E7,1.765E7,23.9,30.0,4.0,1.0,14.346138809026444,5.0,6.0,-2.975E7,-3.02E7,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0
21.0,69.0,0.0,1.0,2025.0,18.434199903116426,4.74E7,300000.0,23.781851000984613,4.74E7,1.765E7,23.9,27.99624530663329,4.078848560700876,3.0,12.611537753638338,3.0,4.0,-2.975E7,-4.71E7,1.0,2.0,1.0,12.0,1.0,1.0,2.0,3.0,3.0
23.0,73.0,17000.0,2.0,2027.0,13.0,4.74E7,4760000.0,25.2,4.74E7,1.765E7,23.9,17.0,0.0,1.0,12.765688433465597,5.0,4.0,-2.975E7,-4.264E7,1.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0
24.0,75.0,47000.0,3.0,2025.0,39.0,7.075E7,1.2995E8,27.6,6.92E7,1.1012E8,22.6,32.0,5.0,1.0,16.811242831518264,5.0,4.0,4.092E7,5.92E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,3.0
24.0,71.0,2000.0,2.0,2025.0,35.0,6.92E7,1.325E7,23.6,6.92E7,1.1012E8,22.6,32.0,2.0,3.0,16.11809565095832,5.0,4.0,4.092E7,-5.595E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0
18.0,69.0,0.0,1.0,2025.0,32.0,6.92E7,3.78E7,25.3,6.92E7,1.1012E8,22.6,17.0,5.0,1.0,15.89495209964411,3.0,4.0,4.092E7,-3.14E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0
19.0,64.0,4000.0,3.0,2025.0,38.0,6.92E7,8.295E7,25.1,6.92E7,1.1012E8,22.6,11.0,1.0,1.0,15.83041357850654,5.0,4.0,4.092E7,1.375E7,2.0,2.0,1.0,10.0,1.0,1.0,3.0,3.0,3.0
24.0,76.0,11000.0,3.0,2025.0,37.0,6.92E7,5.9E7,25.4,6.92E7,1.1012E8,22.6,18.0,1.0,1.0,15.60727002719233,1.0,4.0,4.092E7,-1.02E7,1.0,2.0,1.0,10.0,1.0,1.0,3.0,3.0,3.0
22.0,66.0,1000.0,2.0,2024.0,38.0,7.075E7,1.2995E8,27.6,6.92E7,1.1012E8,22.6,30.0,12.0,1.0,15.60727002719233,1.0,4.0,4.092E7,5.92E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,3.0
